Sample,Date,Time,Date Time,C_ppm,Flush,Notes,Day
1A,11/12/2022,11:00 PM,11/12/22 23:00,469,0,,0
1B,11/12/2022,11:00 PM,11/12/22 23:00,453,0,,
1C,11/12/2022,11:00 PM,11/12/22 23:00,400,0,,
2A,,,12/30/99 00:00,,0,,
2B,,,12/30/99 00:00,,0,,
2C,,,12/30/99 00:00,,0,,
1A,11/14/2022,9:00 AM,11/14/22 09:00,4242,0,,2
1B,11/14/2022,9:00 AM,11/14/22 09:00,4363,0,,
1C,11/14/2022,9:00 AM,11/14/22 09:00,4147,0,,
2A,,,12/30/99 00:00,,0,,
2B,,,12/30/99 00:00,,0,,
2C,,,12/30/99 00:00,,0,,
1A,11/14/2022,9:00 AM,11/14/22 09:00,665,1,,2
1B,11/14/2022,9:00 AM,11/14/22 09:00,776,1,,
1C,11/14/2022,9:00 AM,11/14/22 09:00,700,1,,
2A,,,12/30/99 00:00,,1,,
2B,,,12/30/99 00:00,,1,,
2C,,,12/30/99 00:00,,1,,
1A,11/14/2022,4:30 PM,11/14/22 16:30,1353,1,,2
1B,11/14/2022,4:30 PM,11/14/22 16:30,1463,1,,
1C,11/14/2022,4:30 PM,11/14/22 16:30,1387,1,,
2A,,,12/30/99 00:00,,1,,
2B,,,12/30/99 00:00,,1,,
2C,,,12/30/99 00:00,,1,,
1A,11/15/2022,10:00 AM,11/15/22 10:00,536,2,,3
1B,11/15/2022,10:00 AM,11/15/22 10:00,516,2,,
1C,11/15/2022,10:00 AM,11/15/22 10:00,507,2,,
2A,11/15/2022,9:15 AM,11/15/22 09:15,524,2,,
2B,11/15/2022,9:15 AM,11/15/22 09:15,521,2,,
2C,11/15/2022,9:15 AM,11/15/22 09:15,584,2,,
1A,11/16/2022,8:30 AM,11/16/22 08:30,2813,2,,4
1B,11/16/2022,8:30 AM,11/16/22 08:30,2841,2,,
1C,11/16/2022,8:30 AM,11/16/22 08:30,2743,2,,
2A,11/16/2022,9:15 AM,11/16/22 09:15,3212,2,,
2B,11/16/2022,9:15 AM,11/16/22 09:15,3053,2,,
2C,11/16/2022,9:15 AM,11/16/22 09:15,3204,2,,
1A,11/17/2022,12:40 PM,11/17/22 12:40,708,3,,5
1B,11/17/2022,12:40 PM,11/17/22 12:40,857,3,,
1C,11/17/2022,12:40 PM,11/17/22 12:40,721,3,,
2A,11/17/2022,12:40 PM,11/17/22 12:40,723,3,,
2B,11/17/2022,12:40 PM,11/17/22 12:40,689,3,,
2C,11/17/2022,12:40 PM,11/17/22 12:40,786,3,,
1A,11/17/2022,6:45 PM,11/17/22 18:45,1271,3,,5
1B,11/17/2022,6:45 PM,11/17/22 18:45,1373,3,,
1C,11/17/2022,6:45 PM,11/17/22 18:45,1222,3,,
2A,11/17/2022,7:20 PM,11/17/22 19:20,1281,3,,
2B,11/17/2022,7:20 PM,11/17/22 19:20,1207,3,,
2C,11/17/2022,7:20 PM,11/17/22 19:20,1344,3,,
1A,11/18/2022,8:00 AM,11/18/22 08:00,555,4,,6
1B,11/18/2022,8:00 AM,11/18/22 08:00,522,4,,
1C,11/18/2022,8:00 AM,11/18/22 08:00,528,4,,
2A,11/18/2022,8:00 AM,11/18/22 08:00,526,4,,
2B,11/18/2022,8:00 AM,11/18/22 08:00,511,4,,
2C,11/18/2022,8:00 AM,11/18/22 08:00,529,4,,
1A,11/18/2022,5:38 PM,11/18/22 17:38,1298,4,,6
1B,11/18/2022,5:38 PM,11/18/22 17:38,1282,4,,
1C,11/18/2022,5:38 PM,11/18/22 17:38,1223,4,,
2A,11/18/2022,5:38 PM,11/18/22 17:38,1309,4,,
2B,11/18/2022,5:38 PM,11/18/22 17:38,1253,4,,
2C,11/18/2022,5:38 PM,11/18/22 17:38,1305,4,,
1A,11/21/2022,11:00 AM,11/21/22 11:00,516,5,,9
1B,11/21/2022,11:00 AM,11/21/22 11:00,521,5,,
1C,11/21/2022,11:00 AM,11/21/22 11:00,499,5,,
2A,11/21/2022,11:00 AM,11/21/22 11:00,633,5,,
2B,11/21/2022,11:00 AM,11/21/22 11:00,569,5,,
2C,11/21/2022,11:00 AM,11/21/22 11:00,631,5,,
1A,11/22/2022,10:30 AM,11/22/22 10:30,2406,5,,10
1B,11/22/2022,10:30 AM,11/22/22 10:30,2445,5,,
1C,11/22/2022,10:30 AM,11/22/22 10:30,2251,5,,
2A,11/22/2022,10:30 AM,11/22/22 10:30,2385,5,,
2B,11/22/2022,10:30 AM,11/22/22 10:30,2307,5,,
2C,11/22/2022,10:30 AM,11/22/22 10:30,2373,5,,
1A,11/23/2022,1:00 PM,11/23/22 13:00,726,6,,11
1B,11/23/2022,1:00 PM,11/23/22 13:00,764,6,,
1C,11/23/2022,1:00 PM,11/23/22 13:00,776,6,,
2A,11/23/2022,1:00 PM,11/23/22 13:00,755,6,,
2B,11/23/2022,1:00 PM,11/23/22 13:00,550,6,,
2C,11/23/2022,1:00 PM,11/23/22 13:00,588,6,,
1A,11/25/2022,10:45 AM,11/25/22 10:45,4473,6,,13
1B,11/25/2022,10:45 AM,11/25/22 10:45,4412,6,,
1C,11/25/2022,10:45 AM,11/25/22 10:45,4084,6,,
2A,11/25/2022,10:45 AM,11/25/22 10:45,4303,6,,
2B,11/25/2022,10:45 AM,11/25/22 10:45,4055,6,,
2C,11/25/2022,10:45 AM,11/25/22 10:45,4077,6,,
1A,11/28/2022,8:45 AM,11/28/22 08:45,771,7,,16
1B,11/28/2022,8:45 AM,11/28/22 08:45,624,7,,
1C,11/28/2022,8:45 AM,11/28/22 08:45,590,7,,
2A,11/28/2022,8:45 AM,11/28/22 08:45,927,7,,
2B,11/28/2022,8:45 AM,11/28/22 08:45,778,7,,
2C,11/28/2022,8:45 AM,11/28/22 08:45,773,7,,
1A,11/29/2022,8:30 AM,11/29/22 08:30,2779,7,,17
1B,11/29/2022,8:30 AM,11/29/22 08:30,2520,7,,
1C,11/29/2022,8:30 AM,11/29/22 08:30,2263,7,,
2A,11/29/2022,8:30 AM,11/29/22 08:30,2456,7,,
2B,11/29/2022,8:30 AM,11/29/22 08:30,2525,7,,
2C,11/29/2022,8:30 AM,11/29/22 08:30,2541,7,,
1A,11/30/2022,8:00 PM,11/30/22 20:00,712,8,,18
1B,11/30/2022,8:00 PM,11/30/22 20:00,612,8,,
1C,11/30/2022,8:00 PM,11/30/22 20:00,621,8,,
2A,11/30/2022,8:00 PM,11/30/22 20:00,757,8,,
2B,11/30/2022,8:00 PM,11/30/22 20:00,778,8,,
2C,11/30/2022,8:00 PM,11/30/22 20:00,676,8,,
1A,12/2/2022,7:30 AM,12/02/22 08:45,3712,8,,20
1B,12/2/2022,7:30 AM,12/02/22 08:45,3448,8,,
1C,12/2/2022,7:30 AM,12/02/22 07:30,3303,8,,
2A,12/2/2022,7:30 AM,12/02/22 07:30,3003,8,,
2B,12/2/2022,7:30 AM,12/02/22 07:30,3305,8,,
2C,12/2/2022,7:30 AM,12/02/22 07:30,3188,8,,
1A,12/4/2022,10:00 AM,12/04/22 10:00,683,9,,22
1B,12/4/2022,10:00 AM,12/04/22 10:00,722,9,,
1C,12/4/2022,10:00 AM,12/04/22 10:00,761,9,,
2A,12/4/2022,10:00 AM,12/04/22 10:00,607,9,,
2B,12/4/2022,10:00 AM,12/04/22 10:00,634,9,,
2C,12/4/2022,10:00 AM,12/04/22 10:00,611,9,,
1A,12/5/2022,7:00 AM,12/05/22 07:00,2580,9,,23
1B,12/5/2022,7:00 AM,12/05/22 07:00,2465,9,,
1C,12/5/2022,7:00 AM,12/05/22 07:00,2256,9,,
2A,12/5/2022,7:00 AM,12/05/22 07:00,2135,9,,
2B,12/5/2022,7:00 AM,12/05/22 07:00,2168,9,,
2C,12/5/2022,7:00 AM,12/05/22 07:00,2163,9,,
1A,12/8/2022,11:00 AM,12/08/22 11:00,652,10,,26
1B,12/8/2022,11:00 AM,12/08/22 11:00,709,10,,
1C,12/8/2022,11:00 AM,12/08/22 11:00,646,10,,
2A,12/8/2022,11:00 AM,12/08/22 11:00,573,10,,
2B,12/8/2022,11:00 AM,12/08/22 11:00,565,10,,
2C,12/8/2022,11:00 AM,12/08/22 11:00,574,10,,
1A,12/9/2022,9:30 AM,12/09/22 09:30,2586,10,,27
1B,12/9/2022,9:30 AM,12/09/22 09:30,2518,10,,
1C,12/9/2022,9:30 AM,12/09/22 09:30,2264,10,,
2A,12/9/2022,9:30 AM,12/09/22 09:30,2168,10,,
2B,12/9/2022,9:30 AM,12/09/22 09:30,2159,10,,
2C,12/9/2022,9:30 AM,12/09/22 09:30,2203,10,,
1A,12/12/2022,3:40 PM,12/12/22 15:40,627,11,,30
1B,12/12/2022,3:40 PM,12/12/22 15:40,725,11,,
1C,12/12/2022,3:40 PM,12/12/22 15:40,748,11,,
2A,12/12/2022,3:40 PM,12/12/22 15:40,803,11,,
2B,12/12/2022,3:40 PM,12/12/22 15:40,770,11,,
2C,12/12/2022,3:40 PM,12/12/22 15:40,747,11,,
1A,12/13/2022,9:45 AM,12/13/22 09:45,2075,11,,31
1B,12/13/2022,9:45 AM,12/13/22 09:45,2129,11,,
1C,12/13/2022,9:45 AM,12/13/22 09:45,1887,11,,
2A,12/13/2022,9:45 AM,12/13/22 09:45,1983,11,,
2B,12/13/2022,9:45 AM,12/13/22 09:45,1952,11,,
2C,12/13/2022,9:45 AM,12/13/22 09:45,1933,11,,
1A,12/15/2022,11:22 AM,12/15/22 11:22,462,12,,33
1B,12/15/2022,11:22 AM,12/15/22 11:22,461,12,,
1C,12/15/2022,11:22 AM,12/15/22 11:22,463,12,,
2A,12/15/2022,11:22 AM,12/15/22 11:22,471,12,,
2B,12/15/2022,11:22 AM,12/15/22 11:22,471,12,,
2C,12/15/2022,11:22 AM,12/15/22 11:22,474,12,,
1A,12/19/2022,10:00 AM,12/19/22 10:00,8296,12,,37
1B,12/19/2022,10:00 AM,12/19/22 10:00,8231,12,,
1C,12/19/2022,10:00 AM,12/19/22 10:00,6997,12,,
2A,12/19/2022,10:00 AM,12/19/22 10:00,7341,12,,
2B,12/19/2022,10:00 AM,12/19/22 10:00,7366,12,,
2C,12/19/2022,10:00 AM,12/19/22 10:00,7179,12,,
1A,1/4/2023,10:45 AM,01/04/23 10:45,480,13,,53
1B,1/4/2023,10:45 AM,01/04/23 10:45,474,13,,
1C,1/4/2023,10:45 AM,01/04/23 10:45,479,13,,
2A,1/4/2023,10:45 AM,01/04/23 10:45,491,13,,
2B,1/4/2023,10:45 AM,01/04/23 10:45,512,13,,
2C,1/4/2023,10:45 AM,01/04/23 10:45,497,13,,
1A,1/5/2023,10:00 AM,01/05/23 10:00,1938,13,,54
1B,1/5/2023,10:00 AM,01/05/23 10:00,2015,13,,
1C,1/5/2023,10:00 AM,01/05/23 10:00,2095,13,,
2A,1/5/2023,10:00 AM,01/05/23 10:00,2137,13,,
2B,1/5/2023,10:00 AM,01/05/23 10:00,2137,13,,
2C,1/5/2023,10:00 AM,01/05/23 10:00,1992,13,,
1A,1/10/2023,4:45 PM,01/10/23 16:45,604,14,,59
1B,1/10/2023,4:45 PM,01/10/23 16:45,565,14,,
1C,1/10/2023,4:45 PM,01/10/23 16:45,636,14,,
2A,1/10/2023,4:45 PM,01/10/23 16:45,619,14,,
2B,1/10/2023,4:45 PM,01/10/23 16:45,597,14,,
2C,1/10/2023,4:45 PM,01/10/23 16:45,661,14,,
1A,1/11/2023,4:10 PM,01/11/23 16:10,1843,14,,60
1B,1/11/2023,4:10 PM,01/11/23 16:10,1780,14,,
1C,1/11/2023,4:10 PM,01/11/23 16:10,1915,14,,
2A,1/11/2023,4:10 PM,01/11/23 16:10,1979,14,,
2B,1/11/2023,4:10 PM,01/11/23 16:10,1954,14,,
2C,1/11/2023,4:10 PM,01/11/23 16:10,1951,14,,
1A,1/17/2023,3:30 PM,01/17/23 15:30,567,15,,66
1B,1/17/2023,3:30 PM,01/17/23 15:30,537,15,,
1C,1/17/2023,3:30 PM,01/17/23 15:30,546,15,,
2A,1/17/2023,3:30 PM,01/17/23 15:30,592,15,,
2B,1/17/2023,3:30 PM,01/17/23 15:30,559,15,,
2C,1/17/2023,3:30 PM,01/17/23 15:30,554,15,,
1A,1/18/2023,9:30 AM,01/18/23 09:30,1521,15,,67
1B,1/18/2023,9:30 AM,01/18/23 09:30,1463,15,,
1C,1/18/2023,9:30 AM,01/18/23 09:30,1479,15,,
2A,1/18/2023,9:30 AM,01/18/23 09:30,1637,15,,
2B,1/18/2023,9:30 AM,01/18/23 09:30,1588,15,,
2C,1/18/2023,9:30 AM,01/18/23 09:30,1529,15,,
1A,1/23/2023,3:20 PM,01/23/23 15:20,597,16,,72
1B,1/23/2023,3:20 PM,01/23/23 15:20,565,16,,
1C,1/23/2023,3:20 PM,01/23/23 15:20,586,16,,
2A,1/23/2023,3:20 PM,01/23/23 15:20,673,16,,
2B,1/23/2023,3:20 PM,01/23/23 15:20,616,16,,
2C,1/23/2023,3:20 PM,01/23/23 15:20,594,16,,
1A,1/24/2023,9:30 AM,01/24/23 09:30,1492,16,,73
1B,1/24/2023,9:30 AM,01/24/23 09:30,1471,16,,
1C,1/24/2023,9:30 AM,01/24/23 09:30,1509,16,,
2A,1/24/2023,9:30 AM,01/24/23 09:30,1701,16,,
2B,1/24/2023,9:30 AM,01/24/23 09:30,1637,16,,
2C,1/24/2023,9:30 AM,01/24/23 09:30,1623,16,,
1A,2/3/2023,5:00 PM,02/03/23 17:00,591,17,,83
1B,2/3/2023,5:00 PM,02/03/23 17:00,592,17,,
1C,2/3/2023,5:00 PM,02/03/23 17:00,599,17,,
2A,2/3/2023,5:00 PM,02/03/23 17:00,947,17,,
2B,2/3/2023,5:00 PM,02/03/23 17:00,663,17,,
2C,2/3/2023,5:00 PM,02/03/23 17:00,556,17,,
1A,2/5/2023,11:00 AM,02/05/23 11:00,2406,17,,85
1B,2/5/2023,11:00 AM,02/05/23 11:00,2398,17,,
1C,2/5/2023,11:00 AM,02/05/23 11:00,2408,17,,
2A,2/5/2023,11:00 AM,02/05/23 11:00,2947,17,,
2B,2/5/2023,11:00 AM,02/05/23 11:00,2698,17,,
2C,2/5/2023,11:00 AM,02/05/23 11:00,2648,17,,
1A,2/8/2023,5:40 PM,02/08/23 17:40,695,18,,88
