"Sample","Num","Lett","Date","Time","Date.Time","C_ppm","Flush","Notes","Day","moles_C_P","mass_C_P","time_diff","mass_diff","rem_moles_C","rem_mass_C","adj_mass_diff","flux","time_hours","C_resp","C_resp_cum","time"
"1A","1","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,31114,1,NA,NA,0.000538082270011811,6.46290614511186,15,5.96833201348265,3.74083750777899e-05,0.449311993059334,6.00271563035847,0.400181042023898,23,7.77965068202249,7.77965068202249,0
"1B","1","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,30294,1,NA,NA,0.000523901275558842,6.29257822073725,15,5.88503750412384,3.64224887383996e-05,0.437470512236918,5.91337041311601,0.394224694207734,23,7.95733930923984,7.95733930923984,0
"1C","1","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,30046,1,NA,NA,0.000519612389431602,6.24106440946298,15,5.84972561736325,3.61243182357548e-05,0.433889186329651,5.87693214159427,0.391795476106285,23,7.7042011374239,7.7042011374239,0
"2A","2","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,30878,1,NA,NA,0.000534000910632664,6.41388493760893,15,6.02358473041393,3.71246321801117e-05,0.445903957115322,6.05071905049359,0.403381270032906,23,7.70978322477534,7.70978322477534,0
"2B","2","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,30515,1,NA,NA,0.000527723226502874,6.33848367352602,15,5.9527532399118,3.66881971298694e-05,0.440661935726862,5.97956986172549,0.398637990781699,23,7.96895997853632,7.96895997853632,0
"2C","2","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,31020,1,NA,NA,0.000536456643818422,6.44338074890307,15,6.00073586251001,3.72953588388841e-05,0.447954555013837,6.03150927181802,0.402100618121201,23,7.98532971193112,7.98532971193112,0
"3A","3","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,24193,1,NA,NA,0.000418391218049616,5.02529691999393,15,4.80158573151655,2.90872539132535e-05,0.349367006752088,4.81713850571867,0.321142567047911,23,5.83568664719403,5.83568664719403,0
"3B","3","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,21217,1,NA,NA,0.000366924584522742,4.40713118470265,15,4.195675298101,2.55092078815153e-05,0.30639109586488,4.21037606331712,0.280691737554475,23,4.94165886866836,4.94165886866836,0
"3C","3","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,22281,1,NA,NA,0.000385325289520253,4.62814205242776,15,4.43517297713018,2.67884555218948e-05,0.321756139273479,4.44858850845216,0.296572567230144,23,5.31829815882794,5.31829815882794,0
"4A","4","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,16921,1,NA,NA,0.000292630008705723,3.51477903456443,15,3.35026718565627,2.03441253034416e-05,0.244353289019637,3.36170432323109,0.224113621548739,23,4.57492218316258,4.57492218316258,0
"4B","4","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,16820,1,NA,NA,0.000290883325242613,3.49379961948903,15,3.34237394038037,2.02226929616387e-05,0.242894765162242,3.35290130564811,0.223526753709874,23,4.26704336429252,4.26704336429252,0
"4C","4","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,15206,1,NA,NA,0.000262970977624208,3.15854441224436,15,3.01812773312578,1.82821800936194e-05,0.219587265104462,3.02788973438913,0.201859315625942,23,4.05767290470146,4.05767290470146,0
"5A","5","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,25094,1,NA,NA,0.000433973018052208,5.21244991982507,15,4.92642363706428,3.01705265861689e-05,0.362378194826474,4.94630866034778,0.329753910689852,23,6.49492850717996,6.49492850717996,0
"5B","5","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,25055,1,NA,NA,0.000433298556120908,5.20434895756822,15,4.98416895776689,3.01236368700272e-05,0.361815002445896,4.99947623785441,0.333298415856961,23,6.58250924830226,6.58250924830226,0
"5C","5","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,25324,1,NA,NA,0.000437950614057309,5.26022482544233,15,5.03485190111739,3.04470556813637e-05,0.365699585788859,5.05052020196168,0.336701346797445,23,6.66607789858129,6.66607789858129,0
"6A","6","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,17010,1,NA,NA,0.00029416916542074,3.53326584586851,15,3.38142473279797,2.04511300402779e-05,0.245638522913777,3.39198097972624,0.226132065315083,23,4.39557870357336,4.39557870357336,0
"6B","6","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,17608,1,NA,NA,0.000304510915034003,3.65748060047341,15,3.45184078933821,2.11701056877844e-05,0.254274139415978,3.46613721130673,0.231075814087115,23,4.64047399488993,4.64047399488993,0
"6C","6","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,16408,1,NA,NA,0.00028375824022478,3.40822022333983,15,3.2289604687846,1.97273451911158e-05,0.236945143090491,3.24142290530867,0.216094860353911,23,4.58534106390452,4.58534106390452,0
"7A","7","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,9693,1,NA,NA,0.000167629730771501,2.0134006962965,15,1.82853258325576,1.16538979118409e-05,0.139974967819121,1.84138492219716,0.122758994813144,23,3.1941367617222,3.1941367617222,0
"7B","7","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,9570,1,NA,NA,0.000165502581603556,1.98785150764031,15,1.80526828138996,1.15060149609323e-05,0.138198745695758,1.81796177119838,0.121197451413225,23,3.12034384368854,3.12034384368854,0
"7C","7","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,9471,1,NA,NA,0.000163790485931795,1.96728752652679,15,1.74980784747774,1.13869872199572e-05,0.136769103498906,1.76492739677172,0.117661826451448,23,3.14007003296343,3.14007003296343,0
"8A","8","A",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,20510,1,NA,NA,0.000354697800280975,4.26027527917479,15,3.94413003417703,2.46591814888947e-05,0.296181428863114,3.96610897784985,0.26440726518999,23,5.6911076311801,5.6911076311801,0
"8B","8","B",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,20940,1,NA,NA,0.000362134175420946,4.34959358098099,15,4.02825541145961,2.51761706668676e-05,0.302390985879747,4.05059537588922,0.270039691725948,23,5.76170369405679,5.76170369405679,0
"8C","8","C",0011-03-20,"8:30:00 AM",2022-11-03 08:30:00,20160,1,NA,NA,0.000348644936794951,4.18757433584416,15,3.9063255436451,2.4238376344033e-05,0.291127138268181,3.92587842783236,0.261725228522157,23,5.51460537299759,5.51460537299759,0
"9A","9","A",0011-03-20,"9:00:00 AM",2022-11-03 09:00:00,9590,1,NA,NA,0.000165848459517043,1.9920058472592,15.5,1.81191522478019,1.15300609692102e-05,0.138487562301183,1.82443542462535,0.117705511266152,23.5,2.72495101331743,2.72495101331743,0
"9B","9","B",0011-03-20,"9:00:00 AM",2022-11-03 09:00:00,9371,1,NA,NA,0.000162061096364359,1.94651582843232,15.5,1.7705795455722,1.12667571785681e-05,0.135325020471782,1.78281092881194,0.115020059923351,23.5,2.4776945437648,2.4776945437648,0
"9C","9","C",0011-03-20,"9:00:00 AM",2022-11-03 09:00:00,9870,1,NA,NA,0.000170690750305862,2.0501666019237,15.5,1.8756843379302,1.18667050850995e-05,0.14253099477713,1.88781463535804,0.121794492603745,23.5,2.53909059264846,2.53909059264846,0
"1A","1","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,18520,2,NA,NA,0.000320282947889013,3.84691848709493,6.33333333333333,3.68219892120582,2.22666036652526e-05,0.267444176623349,3.69365049961092,0.583207973622777,30.8333333333333,15.1605806578862,22.9402313399087,1.28472222222222
"1B","1","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,18085,2,NA,NA,0.000312760103270669,3.75656160038401,6.33333333333333,3.5434439779348,2.17436029852102e-05,0.26116241545536,3.55826026979309,0.561830568914698,30.8333333333333,14.7391853064708,22.6965246157107,1.28472222222222
"1C","1","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17226,2,NA,NA,0.0002979046468864,3.57813271375255,6.33333333333333,3.38973341203576,2.07108269296782e-05,0.248757742252365,3.40283124509177,0.537289143961858,30.8333333333333,14.3233878927172,22.0275890301411,1.28472222222222
"2A","2","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,18442,2,NA,NA,0.000318934024026413,3.83071656258125,6.33333333333333,3.63172369483627,2.21728242329691e-05,0.266317791862192,3.64555801023612,0.575614422668861,30.8333333333333,15.0928502624856,22.8026334872609,1.28472222222222
"2B","2","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17870,2,NA,NA,0.000309041915700683,3.71190244948091,6.33333333333333,3.54406712887763,2.14851083962237e-05,0.258057636947043,3.55573531973679,0.561431892590019,30.8333333333333,14.8010773686473,22.7700373471836,1.28472222222222
"2C","2","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,18160,2,NA,NA,0.000314057145446246,3.77214037395486,6.33333333333333,3.60555135523725,2.1833775516252e-05,0.262245477725702,3.61713290111478,0.571126247544439,30.8333333333333,15.003914179012,22.9892438909431,1.28472222222222
"3A","3","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,20073,2,NA,NA,0.000347140367871282,4.16950295850197,6.33333333333333,3.55964590244848,2.41337762080245e-05,0.289870786034583,3.60204418012484,0.568743817914449,30.8333333333333,13.7190817681697,19.5547684153637,1.28472222222222
"3B","3","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17203,2,NA,NA,0.00029750688728589,3.57335522319083,6.33333333333333,2.98593160107935,2.06831740201587e-05,0.248425603156127,3.02677026908642,0.477911095118909,30.8333333333333,11.6951270037147,16.636785872383,1.28472222222222
"3C","3","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,18571,2,NA,NA,0.000321164936568405,3.85751205312311,6.33333333333333,3.2015418272999,2.2327920986361e-05,0.268180658967182,3.24714596929647,0.512707258309969,30.8333333333333,12.4763973104101,17.794695469238,1.28472222222222
"4A","4","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,5227,2,NA,NA,9.03951926898417e-05,1.08573665939769,6.33333333333333,0.885497489767046,6.28442426340578e-06,0.0754822198277669,0.89941845014852,0.142013439497135,30.8333333333333,5.64445885779056,10.2193810409531,1.28472222222222
"4B","4","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,5017,2,NA,NA,8.67634745982277e-05,1.04211609339931,6.33333333333333,0.835853131321275,6.03194117648877e-06,0.0724496454708067,0.850192875780615,0.134240980386413,30.8333333333333,5.51558590065109,9.78262926494361,1.28472222222222
"4C","4","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,5132,2,NA,NA,8.87522726007782e-05,1.06600354620795,6.33333333333333,0.837099433206942,6.17020572408618e-06,0.0741103409519992,0.853013228165848,0.134686299184081,30.8333333333333,5.18841156165452,9.24608446635599,1.28472222222222
"5A","5","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17557,2,NA,NA,0.000303628926354611,3.64688703444523,6.33333333333333,3.16830711034876,2.1108788366676e-05,0.253537657072145,3.20157878329369,0.505512439467425,30.8333333333333,12.877022898258,19.371951405438,1.28472222222222
"5B","5","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17348,2,NA,NA,0.000300014502158671,3.6034741854278,6.33333333333333,3.13984988395934,2.08575075801729e-05,0.250519523545456,3.17208181712475,0.500855023756539,30.8333333333333,12.8598655273748,19.4423747756771,1.28472222222222
"5C","5","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,17661,2,NA,NA,0.000305427491504744,3.66848960046348,6.33333333333333,3.24827814801245,2.12338276097206e-05,0.255039503420354,3.27749194765117,0.517498728576501,30.8333333333333,13.1689178286817,19.834995727263,1.28472222222222
"6A","6","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,11748,2,NA,NA,0.000203168686382296,2.44025909213776,6.33333333333333,2.10479616791215,1.41246252623859e-05,0.169650874026517,2.1281181088002,0.336018648757926,30.8333333333333,8.66649017529222,13.0620688788656,1.28472222222222
"6B","6","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,11871,2,NA,NA,0.000205295835550241,2.46580828079395,6.5,2.23918905458333,1.42725082132944e-05,0.17142709614988,2.25494400040926,0.346914461601425,30.8333333333333,8.91068341686499,13.5511574117549,1.28472222222222
"6C","6","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,11487,2,NA,NA,0.00019865497961129,2.3860449601112,6.5,2.01547786610595,1.38108248543605e-05,0.165881817325724,2.04124030730984,0.31403697035536,30.8333333333333,8.1728657234346,12.7582067873391,1.28472222222222
"7A","7","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,3257,2,NA,NA,5.63262182113669e-05,0.676534206936727,6.5,0.480657093905922,3.91589244804145e-06,0.0470337841934258,0.4942747968517,0.0760422764387231,30.8333333333333,3.06485293179962,6.25898969352182,1.28472222222222
"7B","7","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,3023,2,NA,NA,5.22794466235683e-05,0.627928433395679,6.5,0.409825603403796,3.63455415119106e-06,0.0436546299099559,0.424988475188597,0.0653828423367072,30.8333333333333,2.87644619531146,5.996790039,1.28472222222222
"7C","7","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,3060,2,NA,NA,5.29193207635194e-05,0.635613961690631,6.5,0.442437169412106,3.67903926650501e-06,0.0441889406299917,0.455867141564358,0.0701334063945166,30.8333333333333,2.89517650637529,6.03524653933872,1.28472222222222
"8A","8","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,8794,2,NA,NA,0.000152082518560258,1.82666313042726,6.5,1.47146709301191,1.05730298397533e-05,0.126992661405277,1.49616091277572,0.230178601965495,30.8333333333333,7.6248654519804,13.3159730831605,1.28472222222222
"8B","8","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,9547,2,NA,NA,0.000165104822003046,1.98307401707858,6.5,1.62600852683473,1.14783620514129e-05,0.13786660659952,1.65083231407099,0.253974202164768,30.8333333333333,8.0785475308152,13.840251224872,1.28472222222222
"8C","8","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,9301,2,NA,NA,0.000160850523667155,1.9319756397662,6.5,1.60108248912137,1.11825961495958e-05,0.134314162352795,1.62408673174345,0.2498594971913,30.8333333333333,7.88693118808247,13.4015365610801,1.28472222222222
"9A","9","A",0011-04-20,"3:20 PM",2022-11-04 15:20:00,4430,2,NA,NA,7.66119578373826e-05,0.920186225584803,6.5,0.680896263536565,5.32619083353503e-06,0.0639728781015893,0.697532100009032,0.10731263077062,30.3333333333333,3.41277515422437,6.1377261675418,1.26388888888889
"9B","9","B",0011-04-20,"3:20 PM",2022-11-04 15:20:00,4436,2,NA,NA,7.67157212114287e-05,0.921432527470471,6.5,0.702291112573864,5.33340463601838e-06,0.0640595230832167,0.717526188510021,0.110388644386157,30.3333333333333,3.41869868202754,5.89639322579234,1.26388888888889
"9C","9","C",0011-04-20,"3:20 PM",2022-11-04 15:20:00,4537,2,NA,NA,7.84624046745384e-05,0.94241194254588,6.5,0.726386282363444,5.45483697782132e-06,0.0655180469406119,0.741404745845532,0.11406226859162,30.3333333333333,3.5771608781297,6.11625147077816,1.26388888888889
"1A","1","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,14984,3,NA,NA,0.000259131732784501,3.11243124247465,8.75,2.85673163893178,1.80152694017357e-05,0.216381400784247,2.87450830099568,0.328515234399506,73.9166666666667,33.6957702298236,56.6360015697323,4.36458333333333
"1B","1","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,15478,3,NA,NA,0.000267674917247632,3.2150434310613,8.75,2.79109307295327,1.86092058061976e-05,0.223515170938239,2.82056680753687,0.322350492289928,73.9166666666667,32.677858387021,55.3743830027316,4.36458333333333
"1C","1","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,15005,3,NA,NA,0.000259494904593663,3.11679329907448,8.75,2.65898507307247,1.80405177104274e-05,0.216684658219943,2.69081266299028,0.307521447198889,73.9166666666667,31.2227914316493,53.2503804617904,4.36458333333333
"2A","2","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,15525,3,NA,NA,0.000268487730344326,3.2248061291657,8.75,2.73521720507916,1.86657139256504e-05,0.224193889960987,2.76925424202847,0.316486199088968,73.9166666666667,32.9705521457998,55.7731856330607,4.36458333333333
"2B","2","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,13892,3,NA,NA,0.000240246798708108,2.88560429928309,8.75,2.55284169580976,1.67023573497672e-05,0.200612014128054,2.57597590590428,0.294397246389061,73.9166666666667,31.6300185947685,54.4000559419521,4.36458333333333
"2C","2","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,14084,3,NA,NA,0.000243567226677584,2.92548595962446,8.75,2.5572037524096,1.69331990292342e-05,0.203384653540132,2.5828073444805,0.295177982226343,73.9166666666667,32.0171604919451,55.0064043828882,4.36458333333333
"3A","3","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,15293,3,NA,NA,0.000264475546547876,3.17661578958654,8.75,2.9163464124629,1.83867802296278e-05,0.22084361733806,2.93444077279276,0.335364659747744,73.9166666666667,33.4143424869319,52.9691109022956,4.36458333333333
"3B","3","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,17602,3,NA,NA,0.000304407151659957,3.65623429858774,8.75,3.22979133670837,2.11628918853011e-05,0.254187494434351,3.25943836125523,0.372507241286312,73.9166666666667,31.4300443496429,48.066830222026,4.36458333333333
"3C","3","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,14928,3,NA,NA,0.000258163274626738,3.10079909154175,8.75,2.95934382751844,1.79479405785578e-05,0.215572714289058,2.96917803293315,0.339334632335217,73.9166666666667,31.4900482084283,49.2847436776664,4.36458333333333
"4A","4","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,4673,3,NA,NA,8.08143744862503e-05,0.970661451954353,8.75,0.735733546505953,5.61834983411043e-06,0.0674819998575004,0.752066125542724,0.0859504143477399,73.9166666666667,8.42516409835016,18.6445451393033,4.36458333333333
"4B","4","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,4643,3,NA,NA,8.02955576160198e-05,0.964429942526013,8.75,0.766475659685761,5.58228082169372e-06,0.0670487749493632,0.780237770934252,0.0891700309639145,73.9166666666667,8.25689862782252,18.0395278927661,4.36458333333333
"4C","4","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,4582,3,NA,NA,7.92406299798843e-05,0.95175920668839,8.75,0.761282735162145,5.5089404964464e-06,0.0661678843028177,0.774524976520871,0.0885171401738138,73.9166666666667,8.24922711293554,17.4953115792915,4.36458333333333
"5A","5","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,12405,3,NA,NA,0.000214530775840346,2.57672914861839,8.75,2.01921677176295,1.4914536634312e-05,0.179138499514721,2.05797596021096,0.235197252595538,73.9166666666667,27.3753957024937,46.7473471079317,4.36458333333333
"5B","5","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,12400,3,NA,NA,0.000214444306361974,2.57569056371367,8.75,2.07239231888478,1.49085251322425e-05,0.179066295363365,2.10738245063199,0.240843708643656,73.9166666666667,27.4119489849572,46.8543237606343,4.36458333333333
"5C","5","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,12973,3,NA,NA,0.000224353708583378,2.69471239379495,8.75,2.21197813007959,1.55974432694018e-05,0.187340891108785,2.24553861962995,0.256632985100566,73.9166666666667,28.6106179179816,48.4456136452445,4.36458333333333
"6A","6","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,9961,3,NA,NA,0.000172264494812228,2.06906884718967,8.75,1.67523745131861,1.19761144227635e-05,0.143845110331813,1.70261726551288,0.194584830344329,73.9166666666667,19.6102202484875,32.6722891273531,4.36458333333333
"6B","6","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,9813,3,NA,NA,0.000169704998252423,2.03832673400986,8.55,1.50802528165816,1.17981739615077e-05,0.141707867451669,1.54489272134064,0.180689207174344,73.9166666666667,19.4993522585044,33.0505096702594,4.36458333333333
"6C","6","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,8740,3,NA,NA,0.000151148648193843,1.81544641345625,8.55,1.44716420624138,1.05081056174032e-05,0.12621285657063,1.47276779831229,0.172253543662256,73.9166666666667,17.9724869139011,30.7306937012402,4.36458333333333
"7A","7","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,3174,3,NA,NA,5.48908248703956e-05,0.659293697518321,8.55,0.47878764107742,3.81610151368853e-06,0.045835195280913,0.491336722583127,0.0574662833430558,73.9166666666667,4.93425385526824,11.1932435487901,4.36458333333333
"7B","7","B",0011-07-20,"4:15 PM",2022-11-07 16:15:00,3014,3,NA,NA,5.21238015624991e-05,0.626058980567177,8.55,0.454484754306896,3.62373344746605e-06,0.0435246624375147,0.466412880110939,0.054551214048063,73.9166666666667,4.43256283388713,10.4293528728871,4.36458333333333
"7C","7","C",0011-07-20,"4:15 PM",2022-11-07 16:15:00,2932,3,NA,NA,5.07057021172022e-05,0.609026188129716,8.55,0.416057112832135,3.52514481352703e-06,0.0423405143552731,0.429472644154116,0.0502307186145165,73.9166666666667,4.44845745345885,10.4837039927976,4.36458333333333
"8A","8","A",0011-07-20,"4:15 PM",2022-11-07 16:15:00,5086,3,NA,NA,8.7956753399758e-05,1.05644856508449,8.55,0.804903301160521,6.11489990504722e-06,0.0734460627595222,0.822391146618992,0.0961860990197651,73.9166666666667,12.0618954072469,25.3778684904074,4.36458333333333
